idx,タスク,概要,url
373,Handwriting Verification(手書きの確認),手書きの検証の目標は、指定された手書きのサンプルが同じ作家によって書かれているかどうかにかかわらず、自信の尺度を見つけることです。,https://paperswithcode.com/task/handwriting-verification
374,Histopathological Image Classification(組織病理学的画像分類),このタスクには説明がありません！,https://paperswithcode.com/task/histopathological-image-classification
375,Human action generation(人間のアクションジェネレーション),Yan et al。,https://paperswithcode.com/task/human-action-generation
376,Image Cropping(画像トリミング),画像のトリミングは一般的な写真操作プロセスであり、不要な領域を除去することで全体的な構成を改善します。,https://paperswithcode.com/task/image-cropping
377,Image Forensics(画像フォレンジック),このタスクには説明がありません！,https://paperswithcode.com/task/image-forensics
378,Image Manipulation(画像操作),このタスクには説明がありません！,https://paperswithcode.com/task/image-manipulation
379,Joint Demosaicing and Denoising(関節のデモ除孔と除去),このタスクには説明がありません！,https://paperswithcode.com/task/joint-demosaicing-and-denoising
380,Layout-to-Image Generation(レイアウトから画像の生成),レイアウトから画像への生成指定されたレイアウトに基づいてシーンを生成するタスク。,https://paperswithcode.com/task/layout-to-image-generation
381,Lung Nodule Detection(肺結節の検出),このタスクには説明がありません！,https://paperswithcode.com/task/lung-nodule-detection
382,Machine Translation(機械翻訳),機械の翻訳は、ソース言語の文を別のターゲット言語に翻訳するタスクです。,https://paperswithcode.com/task/machine-translation
383,Material Classification(材料分類),このタスクには説明がありません！,https://paperswithcode.com/task/material-classification
384,Medical Image Classification(医療画像分類),医療画像分類は、X線、MRIスキャン、CTスキャンなどの医療画像を、画像の種類または特定の構造または疾患の存在に基づいて異なるカテゴリに分類することを含む医療画像分析のタスクです。,https://paperswithcode.com/task/medical-image-classification
385,Medical Image Registration(医療画像登録),画像登録は、画像の融合または画像マッチングとも呼ばれ、画像の外観に基づいて2つ以上の画像を調整するプロセスです。,https://paperswithcode.com/task/medical-image-registration
386,Meme Classification(ミーム分類),ミーム分類とは、インターネットミームを分類するタスクを指します。,https://paperswithcode.com/task/meme-classification
387,Micro-Expression Recognition(微小表現認識),顔の微小表現認識は、ハイステーク環境で抑制された感情を特定する上で困難な作業であり、多くの場合、非常に短い期間と微妙な変化があります。,https://paperswithcode.com/task/micro-expression-recognition
388,Model Poisoning(モデル中毒),このタスクには説明がありません！,https://paperswithcode.com/task/model-poisoning
389,Monocular 3D Object Detection(単眼3Dオブジェクト検出),単眼3Dオブジェクト検出は、単一の2D RGB画像でオブジェクトの周りに3D境界ボックスを描画するタスクです。,https://paperswithcode.com/task/monocular-3d-object-detection
390,Motion Estimation(モーション推定),モーション推定は、2つのフレーム間のブロックごとまたはピクセルごとのモーションベクトルを決定するために使用されます。,https://paperswithcode.com/task/motion-estimation
391,Multi-Human Parsing(多人の解析),複数の人間の解析は、混雑したシーンで複数の人間を解析するタスクです。,https://paperswithcode.com/task/multi-human-parsing
392,Multi-Source Unsupervised Domain Adaptation(マルチソースの監視なしドメイン適応),このタスクには説明がありません！,https://paperswithcode.com/task/multi-source-unsupervised-domain-adaptation
393,Multi-object discovery(マルチオブジェクトの発見),このタスクには説明がありません！,https://paperswithcode.com/task/multi-object-discovery
394,Multi-target Domain Adaptation(マルチターゲットドメインの適応),マルチターゲットドメイン適応のアイデアは、単一のラベル付きソースドメインから複数の非標識ターゲットドメインにモデルを適応させることです。,https://paperswithcode.com/task/multi-target-domain-adaptation
395,Multi-tissue Nucleus Segmentation(多ティュー核のセグメンテーション),このタスクには説明がありません！,https://paperswithcode.com/task/multi-tissue-nucleus-segmentation
396,Multimodal Sentiment Analysis(マルチモーダル感情分析),マルチモーダル感情分析は、複数のデータソースを使用して感情分析を実行するタスクです。,https://paperswithcode.com/task/multimodal-sentiment-analysis
397,Multimodal Unsupervised Image-To-Image Translation(マルチモーダル監督なしの画像から画像への翻訳),マルチモーダル監督なしの画像から画像への翻訳は、別のドメイン内の単一の画像から1つのドメインに複数の翻訳を生成するタスクです。,https://paperswithcode.com/task/multimodal-unsupervised-image-to-image
398,Multiview Detection(マルチビュー検出),大量に閉塞されたシナリオで検出するために複数のカメラビューを組み込む。,https://paperswithcode.com/task/multiview-detection
399,Named Entity Recognition (NER)(名前付きエンティティ認識（NER）),名前付きエンティティ認識（NER）は、自然言語処理（NLP）のタスクです。これは、名前、組織、場所などの事前定義されたカテゴリにテキスト内の名前のエンティティを識別および分類します。,https://paperswithcode.com/task/named-entity-recognition-ner
400,Neural Rendering(ニューラルレンダリング),何らかの種類の3Dシーン（ポイントクラウド、メッシュ、ボクセルなど）の表現を考えると、タスクは、任意の視点からこのシーンの光エアリスティックなレンダリングを生成できるアルゴリズムを作成することです。,https://paperswithcode.com/task/neural-rendering
401,Novel Class Discovery(新しいクラスの発見),Nove Class Discovery（NCD）の目標は、既知のクラスからの事前知識を活用することにより、非標識データの新しいクラスを特定することです。,https://paperswithcode.com/task/novel-class-discovery
402,One-Shot Learning(ワンショット学習),ワンショット学習は、単一のトレーニング例からオブジェクトカテゴリに関する情報を学習するタスクです。,https://paperswithcode.com/task/one-shot-learning
403,One-Shot Object Detection(ワンショットオブジェクトの検出),（画像クレジット：シャムマスクR-CNN）,https://paperswithcode.com/task/one-shot-object-detection
404,One-stage Anchor-free Oriented Object Detection(1段階のアンカーフリー配向オブジェクト検出),このタスクには説明がありません！,https://paperswithcode.com/task/one-stage-anchor-free-oriented-object-1
405,Online Multi-Object Tracking(オンラインマルチオブジェクトトラッキング),オンラインマルチオブジェクトトラッキングの目標は、オンラインビデオストリーム内の複数のオブジェクトの時空間的軌跡（つまり、ビデオがフレームごとに提供される）を推定することです。これは、多数のリアルタイムアプリケーションの基本的な問題です。,https://paperswithcode.com/task/online-multi-object-tracking
406,Open-World Semi-Supervised Learning(Open-World Semi-Supervised Learning),このタスクには説明がありません！,https://paperswithcode.com/task/open-world-semi-supervised-learning
407,Optic Disc Detection(光学ディスク検出),光学板の地域提案,https://paperswithcode.com/task/optic-disc-detection
408,Optic Disc Segmentation(光学ディスクセグメンテーション),このタスクには説明がありません！,https://paperswithcode.com/task/optic-disc-segmentation
409,Patch Matching(パッチマッチング),このタスクには説明がありません！,https://paperswithcode.com/task/patch-matching
410,Physical Attribute Prediction(物理属性予測),このタスクには説明がありません！,https://paperswithcode.com/task/physical-attribute-prediction
411,Pose Tracking(ポーズトラッキング),ポーズトラッキングは、ビデオでマルチパーソンの人間のポーズを推定し、各キーポイントにフレーム間で一意のインスタンスIDを割り当てるタスクです。,https://paperswithcode.com/task/pose-tracking
412,Probabilistic Deep Learning(確率的な深い学習),このタスクには説明がありません！,https://paperswithcode.com/task/probabilistic-deep-learning
413,Product Recommendation(製品の推奨),このタスクには説明がありません！,https://paperswithcode.com/task/product-recommendation
414,Rain Removal(雨の除去),このタスクには説明がありません！,https://paperswithcode.com/task/rain-removal
415,Real-time Instance Segmentation(リアルタイムインスタンスセグメンテーション),親タスク、インスタンスセグメンテーションと同様ですが、定義された設定の下でリアルタイム機能を達成することを目的としています。,https://paperswithcode.com/task/real-time-instance-segmentation
416,Region Proposal(地域の提案),ナンがあります,https://paperswithcode.com/methods/category/region-proposal
417,Relation Extraction(関係抽出),関係抽出は、文のエンティティの属性と関係を予測するタスクです。,https://paperswithcode.com/task/relation-extraction
418,Retrieval(検索),このタスクには説明がありません！,https://paperswithcode.com/task/retrieval
419,Robust Face Recognition(堅牢なフェイス認識),堅牢な顔認識は、視点、スケール、ポーズ、照明、顔画像の表現の変動がある制約のない環境で認識を実行するタスクです。,https://paperswithcode.com/task/robust-face-recognition
420,Robust classification(堅牢な分類),このタスクには説明がありません！,https://paperswithcode.com/task/robust-classification
421,Satellite Image Classification(衛星画像分類),衛星画像分類は、コンピューター化された研究と衛星情報のパターン認識のためにリモートセンシングで使用される最も重要な手法です。これは、使用済み分類アルゴリズムに応じてトレーニングサンプルの厳密な検証を含む画像の多様性構造に基づいています。,https://paperswithcode.com/task/satellite-image-classification
422,Scene Flow Estimation(シーンフローの推定),シーンフローの推定は、自律的なナビゲーションのコンテキストで、環境知覚にとって重要な3D構造と3D動的シーンの3Dモーションを取得するタスクです。,https://paperswithcode.com/task/scene-flow-estimation
423,Scene Graph Detection(シーングラフの検出),このタスクには説明がありません！,https://paperswithcode.com/task/scene-graph-detection
424,Semantic Image-Text Similarity(セマンティック画像テキストの類似性),このタスクには説明がありません！,https://paperswithcode.com/task/semantic-image-text-similarity
425,Semantic SLAM(セマンティックスラム),セマンティックレベルのシーンの理解でスラム,https://paperswithcode.com/task/semantic-slam
426,Semantic correspondence(意味対応),セマンティック対応のタスクは、同じオブジェクトカテゴリの異なるインスタンス間で信頼できる視覚的対応を確立することを目的としています。,https://paperswithcode.com/task/semantic-correspondence
427,Semi Supervised Learning for Image Captioning(画像キャプションのための半教師の学習),このタスクには説明がありません！,https://paperswithcode.com/task/semi-supervised-learning-for-image-captioning
428,Semi-Supervised Semantic Segmentation(半監視されたセマンティックセグメンテーション),少数のラベル付けされた例と多数の非標識例でトレーニングされたモデルは、画像をセグメント化することを学ぶことを目的としています（つまり、すべてのピクセルにクラスを割り当てます）。,https://paperswithcode.com/task/semi-supervised-semantic-segmentation
429,Shadow Removal(影の除去),このタスクには説明がありません！,https://paperswithcode.com/task/shadow-removal
430,Single Image Deraining(単一の画像由来),このタスクには説明がありません！,https://paperswithcode.com/task/single-image-deraining
431,Single-object discovery(単一オブジェクトの発見),このタスクには説明がありません！,https://paperswithcode.com/task/single-object-discovery
432,Sketch Recognition(スケッチ認識),このタスクには説明がありません！,https://paperswithcode.com/task/sketch-recognition
433,Small Object Detection(小さなオブジェクトの検出),小さなオブジェクトの検出は、画像やビデオで小さなオブジェクトを検出およびローカライズすることを伴うコンピュータービジョンタスクです。,https://paperswithcode.com/task/small-object-detection
434,Sparse Learning(まばらな学習),このタスクには説明がありません！,https://paperswithcode.com/task/sparse-learning
435,Sparse Learning and binarization(まばらな学習とバイナリゼーション),このタスクには説明がありません！,https://paperswithcode.com/task/sparse-learning-and-binarization
436,Surface Reconstruction(表面再建),このタスクには説明がありません！,https://paperswithcode.com/task/surface-reconstruction
437,Synthetic-to-Real Translation(合成間翻訳),合成間翻訳は、合成（または仮想）データから実際のデータへのドメイン適応のタスクです。,https://paperswithcode.com/task/synthetic-to-real-translation
438,Text Retrieval(テキスト検索),このタスクには説明がありません！,https://paperswithcode.com/task/text-retrieval
439,Text based Person Retrieval(テキストベースの人の検索),このタスクには説明がありません！,https://paperswithcode.com/task/nlp-based-person-retrival
440,Time Series Analysis(時系列分析),時系列分析では、意味のある統計やその他のデータの特性を抽出するために、時系列データを分析するための方法が含まれています。,https://paperswithcode.com/methods/category/time-series-analysis
441,Time Series Classification(時系列分類),時系列分類は、多くの主題ドメインとアプリケーションで役立つ一般的なタスクです。,https://paperswithcode.com/task/time-series-classification
442,Token Classification(トークン分類),このタスクには説明がありません！,https://paperswithcode.com/task/token-classification
443,Traffic Sign Recognition(トラフィックサインの認識),交通標識の認識は、画像またはビデオの交通標識を認識するタスクです。,https://paperswithcode.com/task/traffic-sign-recognition
444,Trajectory Forecasting(軌跡予測),軌道予測は、過去の軌跡と過去の軌跡に基づいて、シーン内のすべての移動剤（人間、車両など）の将来の軌跡を予測モデルを予測する順次予測タスクです。,https://paperswithcode.com/task/trajectory-forecasting
445,Unconditional Image Generation(無条件の画像生成),このタスクには説明がありません！,https://paperswithcode.com/task/unconditional-image-generation
446,Universal Domain Adaptation(ユニバーサルドメインの適応),このタスクには説明がありません！,https://paperswithcode.com/task/universal-domain-adaptation
447,Unsupervised Facial Landmark Detection(監視されていないフェイシャルランドマーク検出),[1]によって普及した監視されていない設定での顔のランドマーク検出。,https://paperswithcode.com/task/unsupervised-facial-landmark-detection
448,Unsupervised Object Localization(監視されていないオブジェクトのローカリゼーション),このタスクには説明がありません！,https://paperswithcode.com/task/unsupervised-object-localization
449,Unsupervised Person Re-Identification(監視されていない人の再識別),このタスクには説明がありません！,https://paperswithcode.com/task/unsupervised-person-re-identification
450,Unsupervised Pre-training(監視されていない事前トレーニング),非監視されていない（自己監視）補助タスクを使用して、非標識データに関するニューラルネットワークを事前に訓練します。,https://paperswithcode.com/task/unsupervised-pre-training
451,Unsupervised Saliency Detection(監視されていない顕著性検出),このタスクには説明がありません！,https://paperswithcode.com/task/unsupervised-saliency-detection
452,Video Frame Interpolation(ビデオフレーム補間),ナンがあります,https://paperswithcode.com/methods/category/video-frame-interpolation
453,Video Generation(ビデオ生成),（さまざまなビデオ生成タスク。GIFクレジット：Magvit）,https://paperswithcode.com/task/video-generation
454,Video Object Tracking(ビデオオブジェクトトラッキング),ビデオオブジェクト検出は、空間情報と時間的情報の両方を使用して、ビデオのターゲットを検出することを目的としています。,https://paperswithcode.com/task/video-object-tracking
455,Video Salient Object Detection(ビデオ顕著なオブジェクトの検出),ビデオ顕著なオブジェクト検出（VSOD）は、一般的なフリービューリング中にHVSの背後にある基礎となるメカニズムを理解し、例えばビデオセグメンテーション、ビデオキャプション、ビデオ圧縮、自動運転、ロボット,https://paperswithcode.com/task/video-salient-object-detection
456,Video Summarization(ビデオの要約),ビデオの要約は、最も有益で重要な部分を選択することにより、ビデオコンテンツを要約する短い概要を生成することを目的としています。,https://paperswithcode.com/task/video-summarization
457,Video-Based Person Re-Identification(ビデオベースの人の再識別),ビデオベースの人の再識別（Reid）は、複数のカメラのクエリ担当者と同じアイデンティティで人ビデオを取得することを目指しています,https://paperswithcode.com/task/video-based-person-re-identification
458,Visual Grounding(視覚的な接地),Visual Grounding（VG）は、自然言語クエリに基づいて、画像内の最も関連性の高いオブジェクトまたは領域を見つけることを目的としています。,https://paperswithcode.com/task/visual-grounding
459,Weakly Supervised Defect Detection(弱く監視された欠陥検出),このタスクには説明がありません！,https://paperswithcode.com/task/weakly-supervised-defect-detection
461,Weakly-Supervised Semantic Segmentation(弱く監視されたセマンティックセグメンテーション),セマンティックセグメンテーションタスクは、画像内の各ピクセルにセットされたラベルからラベルを割り当てることです。,https://paperswithcode.com/task/weakly-supervised-semantic-segmentation
462,Zero-Shot Cross-Modal Retrieval(ゼロショットクロスモーダル検索),ゼロショットクロスモーダル検索は、トレーニングの例を受け取ることなく、さまざまなモダリティで関連するアイテムを見つけるタスクです。,https://paperswithcode.com/task/zero-shot-cross-modal-retrieval
463,regression(回帰),このタスクには説明がありません！,https://paperswithcode.com/task/regression-1
464,2D Cyclist Detection(2Dサイクリスト検出),このタスクには説明がありません！,https://paperswithcode.com/task/2d-cyclist-detection
465,2D Semantic Segmentation task 1 (8 classes)(2Dセマンティックセグメンテーションタスク1（8クラス）),このタスクには説明がありません！,https://paperswithcode.com/task/2d-semantic-segmentation-task-1-8-classes
466,2D Semantic Segmentation task 3 (25 classes)(2Dセマンティックセグメンテーションタスク3（25クラス）),このタスクには説明がありません！,https://paperswithcode.com/task/2d-semantic-segmentation-task-3-25-classes
467,3D Anomaly Detection(3D異常検出),3Dのみの異常検出,https://paperswithcode.com/task/3d-anomaly-detection
468,3D Classification(3D分類),このタスクには説明がありません！,https://paperswithcode.com/task/3d-classification
469,3D Facial Landmark Localization(3Dフェイシャルランドマークのローカリゼーション),画像：Zhang et al,https://paperswithcode.com/task/3d-facial-landmark-localization
470,3D Lane Detection(3Dレーン検出),このタスクには説明がありません！,https://paperswithcode.com/task/3d-lane-detection
471,3D Multi-Object Tracking(3Dマルチオブジェクト追跡),画像：Weng et al,https://paperswithcode.com/task/3d-multi-object-tracking
472,3D Multi-Person Mesh Recovery(3Dマルチパーソンメッシュ回復),このタスクには説明がありません！,https://paperswithcode.com/task/3d-multi-person-mesh-recovery
473,3D Multi-Person Pose Estimation (absolute)(3Dマルチパーソンポーズ推定（絶対）),このタスクは、絶対3Dマルチパーソンポーズ推定（カメラ中心の座標）を解決することを目的としています。,https://paperswithcode.com/task/3d-multi-person-pose-estimation-absolute
474,3D Object Detection From Stereo Images(ステレオ画像からの3Dオブジェクトの検出),ステレオカメラからのみ配向3D境界ボックスを推定します。,https://paperswithcode.com/task/3d-object-detection-from-stereo-images
475,3D Room Layouts From A Single RGB Panorama(単一のRGBパノラマからの3Dルームレイアウト),画像：Zou et al,https://paperswithcode.com/task/3d-room-layouts-from-a-single-rgb-panorama
476,3D-Aware Image Synthesis(3Dアウェア画像合成),このタスクには説明がありません！,https://paperswithcode.com/task/3d-aware-image-synthesis
477,6D Pose Estimation using RGBD(RGBDを使用した6Dポーズ推定),画像：Zeng et al,https://paperswithcode.com/task/6d-pose-estimation-using-rgbd
478,Action Classification(アクション分類),画像ソース：Kinetics Human Action Video Dataset,https://paperswithcode.com/task/action-classification
479,Action Generation(アクション生成),このタスクには説明がありません！,https://paperswithcode.com/task/action-generation
480,Activity Detection(アクティビティ検出),拡張ビデオでのアクティビティの検出。,https://paperswithcode.com/task/activity-detection
481,Adversarial Attack(敵対的な攻撃),敵対的な攻撃は、機械学習モデルの予測を変更する摂動を見つけるためのテクニックです。,https://paperswithcode.com/task/adversarial-attack
482,Aesthetics Quality Assessment(美学の品質評価),美的関連の主観的評価の自動評価。,https://paperswithcode.com/task/aesthetics-quality-assessment
483,Affordance Detection(アフォーダンス検出),アフォーダンス検出とは、画像内のオブジェクトの潜在的なアクションの可能性を識別することを指します。これは、ロボットの知覚と操作の重要な能力です。,https://paperswithcode.com/task/affordance-detection
484,Autonomous Navigation(自律ナビゲーション),自律的なナビゲーションは、人間のガイダンスなしで、またはその周辺に車両またはロボットを自律的にナビゲートするタスクです。,https://paperswithcode.com/task/autonomous-navigation
485,Bias Detection(バイアス検出),バイアス検出は、モデルの人種差別、性差別、その他の差別的行動を検出および測定するタスクです（出典：https：,https://paperswithcode.com/task/bias-detection
486,Blood Cell Detection(血球検出),このタスクには説明がありません！,https://paperswithcode.com/task/blood-cell-detection
487,Box-supervised Instance Segmentation(ボックススーパービズされたインスタンスセグメンテーション),このタスクは、弱く境界のあるボックスアノテーションでインスタンスセグメンテーションを実現することを目的としています。,https://paperswithcode.com/task/box-supervised-instance-segmentation
488,Brain Segmentation(脳のセグメンテーション),（画像クレジット：MRIにおける皮質下セグメンテーションのための3D完全畳み込みネットワーク：大規模な研究）,https://paperswithcode.com/task/brain-segmentation
489,Breast Cancer Histology Image Classification(乳がんの組織学的画像分類),このタスクには説明がありません！,https://paperswithcode.com/task/breast-cancer-histology-image-classification
490,Building change detection for remote sensing images(リモートセンシング画像の構築変更検出),このタスクには説明がありません！,https://paperswithcode.com/task/building-change-detection-for-remote-sensing
491,Camera Relocalization(カメラの再局在化),「カメラの再局在化、または画像ベースのローカリゼーションは、ロボット工学とコンピュータービジョンの基本的な問題です。これは、視覚シーンの表現からカメラのポーズを決定するプロセスを指し、自律車両のナビゲーション、モーションからの構造などの多くのアプリケーションに不可欠です。,https://paperswithcode.com/task/camera-relocalization
492,Camouflaged Object Segmentation(カモフラージュオブジェクトセグメンテーション),カモフラージュオブジェクトセグメンテーション（COS）またはカモフラージュオブジェクト検出（COD）。,https://paperswithcode.com/task/camouflaged-object-segmentation
493,Cardiac Segmentation(心臓のセグメンテーション),このタスクには説明がありません！,https://paperswithcode.com/task/cardiac-segmentation
494,Cell Segmentation(細胞セグメンテーション),セルセグメンテーションは、顕微鏡画像ドメインをセグメントに分割するタスクであり、セルの個々のインスタンスを表します。,https://paperswithcode.com/task/cell-segmentation
496,Clothes Landmark Detection(衣服のランドマーク検出),このタスクには説明がありません！,https://paperswithcode.com/task/clothes-landmark-detection
497,Co-Salient Object Detection(協調性オブジェクト検出),協調性オブジェクトの検出は、画像グループの一般的で顕著な前景領域（またはオブジェクト）を強調することを目的とする計算上の問題です。,https://paperswithcode.com/task/co-saliency-detection
498,Core set discovery(コアセットディスカバリー),機械学習のコアセットは、監視されたアルゴリズムがセット全体の使用時に得られたものと同じくらい良い結果を提供できるようにする最小限のトレーニングサンプルとして定義されます。,https://paperswithcode.com/task/core-set-discovery
